Book,Author,Genere1,Genere2,Genere3,Genere4,Genere5,Genere6,Genere7,Combined_Features
"The Millennium Trilogy (Millennium Trilogy, #1-3)",Stieg Larsson,Fiction,Mystery,Thriller,Crime,Suspense,Novels,Contemporary,the millennium trilogy millennium trilogy  stieg larsson fiction mystery thriller crime suspense novels contemporary
Wonder Boys,Michael Chabon,Fiction,Contemporary,Novels,Literary Fiction,Literature,LGBT,Humor,wonder boys michael chabon fiction contemporary novels literary fiction literature lgbt humor
Between The Lines: Volumes of Words Unspoken,Céline Zabad,Poetry,0,0,0,0,0,0,between the lines volumes of words unspoken cline zabad poetry      
The Age of Miracles,Karen Thompson Walker,Fiction,Young Adult,Science Fiction,Dystopia,Coming Of Age,Fantasy,Post Apocalyptic,the age of miracles karen thompson walker fiction young adult science fiction dystopia coming of age fantasy post apocalyptic
The Humans,Matt Haig,Fiction,Science Fiction,Fantasy,Humor,Contemporary,Audiobook,Adult,the humans matt haig fiction science fiction fantasy humor contemporary audiobook adult
Operating Instructions: A Journal of My Son's First Year,Anne Lamott,Memoir,Parenting,Nonfiction,Biography,Humor,Biography Memoir,Essays,operating instructions a journal of my sons first year anne lamott memoir parenting nonfiction biography humor biography memoir essays
The Snow Child,Eowyn Ivey,Fiction,Historical Fiction,Fantasy,Magical Realism,Historical,Adult,Fairy Tales,the snow child eowyn ivey fiction historical fiction fantasy magical realism historical adult fairy tales
Shame,Salman Rushdie,Fiction,Magical Realism,India,Literature,Historical Fiction,Novels,Pakistan,shame salman rushdie fiction magical realism india literature historical fiction novels pakistan
The Wife Between Us,Greer Hendricks,Thriller,Fiction,Mystery,Mystery Thriller,Audiobook,Suspense,Adult,the wife between us greer hendricks thriller fiction mystery mystery thriller audiobook suspense adult
No Exit,Taylor  Adams,Thriller,Mystery Thriller,Mystery,Fiction,Horror,Adult,Suspense,no exit taylor  adams thriller mystery thriller mystery fiction horror adult suspense
Anil's Ghost,Michael Ondaatje,Fiction,Canada,Historical Fiction,Literary Fiction,Asia,Literature,Contemporary,anils ghost michael ondaatje fiction canada historical fiction literary fiction asia literature contemporary
The Appeal,John Grisham,Fiction,Thriller,Mystery,Legal Thriller,Crime,Suspense,Mystery Thriller,the appeal john grisham fiction thriller mystery legal thriller crime suspense mystery thriller
The Complete Conversations with God,Neale Donald Walsch,Spirituality,Nonfiction,Religion,Philosophy,Self Help,Psychology,New Age,the complete conversations with god neale donald walsch spirituality nonfiction religion philosophy self help psychology new age
Galápagos,Kurt Vonnegut Jr.,Fiction,Science Fiction,Classics,Humor,Literature,Novels,American,galpagos kurt vonnegut jr fiction science fiction classics humor literature novels american
The Art Book,Phaidon Press,Art,Nonfiction,Reference,Art History,History,Art Design,Design,the art book phaidon press art nonfiction reference art history history art design design
The Origin of Consciousness in the Breakdown of the Bicameral Mind,Julian Jaynes,Psychology,Philosophy,Nonfiction,Science,History,Religion,Neuroscience,the origin of consciousness in the breakdown of the bicameral mind julian jaynes psychology philosophy nonfiction science history religion neuroscience
Rejection Proof: How I Beat Fear and Became Invincible Through 100 Days of Rejection,Jia Jiang,Nonfiction,Self Help,Psychology,Business,Personal Development,Audiobook,Memoir,rejection proof how i beat fear and became invincible through  days of rejection jia jiang nonfiction self help psychology business personal development audiobook memoir
"House Atreides (Prelude to Dune, #1)",Brian Herbert,Science Fiction,Fiction,Fantasy,Science Fiction Fantasy,Space Opera,Audiobook,Adventure,house atreides prelude to dune  brian herbert science fiction fiction fantasy science fiction fantasy space opera audiobook adventure
Fear and Trembling,Søren Kierkegaard,Philosophy,Nonfiction,Religion,Classics,Theology,Christianity,Psychology,fear and trembling sren kierkegaard philosophy nonfiction religion classics theology christianity psychology
"The Looking Glass Wars (The Looking Glass Wars, #1)",Frank Beddor,Fantasy,Young Adult,Fiction,Retellings,Adventure,Steampunk,Magic,the looking glass wars the looking glass wars  frank beddor fantasy young adult fiction retellings adventure steampunk magic
The Dollmaker,Harriette Simpson Arnow,Fiction,Historical Fiction,Classics,Literary Fiction,Southern,Novels,Historical,the dollmaker harriette simpson arnow fiction historical fiction classics literary fiction southern novels historical
Collected Works: Wise Blood / A Good Man Is Hard to Find / The Violent Bear It Away / Everything That Rises Must Converge / Essays and Letters,Flannery O'Connor,Fiction,Short Stories,Classics,Literature,Essays,Southern Gothic,Gothic,collected works wise blood  a good man is hard to find  the violent bear it away  everything that rises must converge  essays and letters flannery oconnor fiction short stories classics literature essays southern gothic gothic
Ice Hunt,James Rollins,Thriller,Fiction,Adventure,Action,Science Fiction,Mystery,Suspense,ice hunt james rollins thriller fiction adventure action science fiction mystery suspense
The Winner,David Baldacci,Fiction,Thriller,Mystery,Suspense,Crime,Mystery Thriller,Adventure,the winner david baldacci fiction thriller mystery suspense crime mystery thriller adventure
The Last Picture Show,Larry McMurtry,Fiction,Classics,Westerns,Coming Of Age,Literature,Novels,Historical Fiction,the last picture show larry mcmurtry fiction classics westerns coming of age literature novels historical fiction
Kitchen,Banana Yoshimoto,Fiction,Japan,Japanese Literature,Contemporary,Short Stories,Asia,Asian Literature,kitchen banana yoshimoto fiction japan japanese literature contemporary short stories asia asian literature
Book of a Thousand Days,Shannon Hale,Fantasy,Young Adult,Romance,Fiction,Fairy Tales,Retellings,Historical Fiction,book of a thousand days shannon hale fantasy young adult romance fiction fairy tales retellings historical fiction
"Without Remorse (John Clark, #1; Jack Ryan Universe Publication Order, #6)",Tom Clancy,Fiction,Thriller,Action,Military Fiction,Espionage,Mystery,Suspense,without remorse john clark  jack ryan universe publication order  tom clancy fiction thriller action military fiction espionage mystery suspense
"Excession (Culture, #5)",Iain M. Banks,Science Fiction,Fiction,Space Opera,Cultural,Science Fiction Fantasy,Fantasy,Space,excession culture  iain m banks science fiction fiction space opera cultural science fiction fantasy fantasy space
Against the Day,Thomas Pynchon,Fiction,Historical Fiction,Literature,Novels,Steampunk,Science Fiction,American,against the day thomas pynchon fiction historical fiction literature novels steampunk science fiction american
"Full Catastrophe Living: Using the Wisdom of Your Body and Mind to Face Stress, Pain, and Illness",Jon Kabat-Zinn,Nonfiction,Psychology,Self Help,Health,Spirituality,Buddhism,Mental Health,full catastrophe living using the wisdom of your body and mind to face stress pain and illness jon kabatzinn nonfiction psychology self help health spirituality buddhism mental health
The Camp of the Saints,Jean Raspail,Fiction,Politics,Literature,Dystopia,France,Race,Novels,the camp of the saints jean raspail fiction politics literature dystopia france race novels
"Blue Bloods (Blue Bloods, #1)",Melissa de la Cruz,Young Adult,Vampires,Fantasy,Paranormal,Romance,Supernatural,Fiction,blue bloods blue bloods  melissa de la cruz young adult vampires fantasy paranormal romance supernatural fiction
"Gut gegen Nordwind (Gut gegen Nordwind, #1)",Daniel Glattauer,Romance,Fiction,Contemporary,German Literature,Chick Lit,Roman,Audiobook,gut gegen nordwind gut gegen nordwind  daniel glattauer romance fiction contemporary german literature chick lit roman audiobook
Cancer Ward,Aleksandr Solzhenitsyn,Fiction,Classics,Russia,Russian Literature,Literature,Historical Fiction,Novels,cancer ward aleksandr solzhenitsyn fiction classics russia russian literature literature historical fiction novels
Dhalgren,Samuel R. Delany,Science Fiction,Fiction,Fantasy,Science Fiction Fantasy,Classics,Speculative Fiction,Novels,dhalgren samuel r delany science fiction fiction fantasy science fiction fantasy classics speculative fiction novels
"Dark Sacred Night (Harry Bosch, #21; Renée Ballard, #2; Harry Bosch Universe, #31)",Michael Connelly,Mystery,Fiction,Crime,Thriller,Audiobook,Mystery Thriller,Detective,dark sacred night harry bosch  rene ballard  harry bosch universe  michael connelly mystery fiction crime thriller audiobook mystery thriller detective
Hold Tight,Harlan Coben,Mystery,Thriller,Fiction,Suspense,Crime,Mystery Thriller,Adult,hold tight harlan coben mystery thriller fiction suspense crime mystery thriller adult
"Don't Just Fly, SOAR: The Inspiration and tools you need to rise above adversity and create a life by design",Kelly Markey,Nonfiction,Education,0,0,0,0,0,dont just fly soar the inspiration and tools you need to rise above adversity and create a life by design kelly markey nonfiction education     
"Glass Sword (Red Queen, #2)",Victoria Aveyard,Fantasy,Young Adult,Dystopia,Romance,Fiction,Young Adult Fantasy,Audiobook,glass sword red queen  victoria aveyard fantasy young adult dystopia romance fiction young adult fantasy audiobook
Mastery: The Keys to Success and Long-Term Fulfillment,George Leonard,Self Help,Nonfiction,Psychology,Personal Development,Philosophy,Productivity,Business,mastery the keys to success and longterm fulfillment george leonard self help nonfiction psychology personal development philosophy productivity business
Miracle in the Andes,Nando Parrado,Nonfiction,Survival,Adventure,Memoir,Biography,History,Travel,miracle in the andes nando parrado nonfiction survival adventure memoir biography history travel
The Case for a Creator: A Journalist Investigates Scientific Evidence That Points Toward God,Lee Strobel,Christian,Nonfiction,Religion,Science,Christianity,Theology,Faith,the case for a creator a journalist investigates scientific evidence that points toward god lee strobel christian nonfiction religion science christianity theology faith
White Nights,Fyodor Dostoevsky,Classics,Fiction,Russian Literature,Russia,Short Stories,Romance,Literature,white nights fyodor dostoevsky classics fiction russian literature russia short stories romance literature
"Ramona the Pest (Ramona, #2)",Beverly Cleary,Childrens,Fiction,Middle Grade,Classics,Young Adult,Realistic Fiction,Humor,ramona the pest ramona  beverly cleary childrens fiction middle grade classics young adult realistic fiction humor
"Full Dark, No Stars",Stephen King,Horror,Fiction,Short Stories,Thriller,Mystery,Suspense,Audiobook,full dark no stars stephen king horror fiction short stories thriller mystery suspense audiobook
Stiff: The Curious Lives of Human Cadavers,Mary Roach,Nonfiction,Science,Humor,Medical,Audiobook,Medicine,Death,stiff the curious lives of human cadavers mary roach nonfiction science humor medical audiobook medicine death
"Freak the Mighty (Freak The Mighty, #1)",Rodman Philbrick,Young Adult,Realistic Fiction,Fiction,Middle Grade,School,Childrens,Read For School,freak the mighty freak the mighty  rodman philbrick young adult realistic fiction fiction middle grade school childrens read for school
"A Criminal Defense (Philadelphia Legal, #1)",William L. Myers Jr.,Mystery,Fiction,Thriller,Legal Thriller,Crime,Suspense,Mystery Thriller,a criminal defense philadelphia legal  william l myers jr mystery fiction thriller legal thriller crime suspense mystery thriller
